municipal_norm,units_total,affordable_units,projects,transit_project_share,municipality,single_family_share,is_mbta,pop,hh,compliance_pct,nhwhi_p,nhaa_p,nhas_p,lat_p,affordable_share,units_per_1k_residents,zoning_bin,share_units_near_transit
boston,110365,19869.0,1097,1.0,Boston,0.0,0.0,1369.0,561.0,94.667,44.6,19.1,11.2,18.7,0.18002990078376296,80617.2388604821,Most flexible zoning,0.7692112535677071
braintree,2316,204.0,13,1.0,Braintree,0.0,1.0,924.0,792.0,88.425,70.1,3.3,17.2,4.8,0.08808290155440414,2506.4935064935066,Most flexible zoning,0.018998272884283247
brookline,1522,230.0,25,1.0,Brookline,69.4747089270653,1.0,796.0,1875.0,96.62,65.3,3.1,19.1,6.8,0.15111695137976347,1912.0603015075376,Moderately flexible,0.6064388961892248
cambridge,17694,3009.0,146,1.0,Cambridge,0.0,1.0,413.0,783.0,97.324,55.4,10.1,19.1,9.1,0.1700576466598847,42842.61501210654,Most flexible zoning,0.9127387815078558
malden,2782,36.0,35,1.0,Malden,0.0,1.0,1233.0,588.0,93.811,40.0,14.2,25.8,10.4,0.012940330697340043,2256.2854825628547,Most flexible zoning,0.6865564342199856
medford,3927,352.0,30,1.0,Medford,53.1486772471564,1.0,438.0,723.0,98.635,66.8,8.1,11.4,6.2,0.0896358543417367,8965.753424657534,Moderately flexible,0.48128342245989303
melrose,2311,177.0,48,1.0,Melrose,28.8664567790849,1.0,328.0,1264.0,99.097,79.6,3.1,7.4,4.5,0.07659022068368672,7045.731707317073,Moderately flexible,0.391605365642579
milton,460,4.0,10,1.0,Milton,98.1117177171913,1.0,828.0,1196.0,99.186,71.0,12.5,6.2,4.9,0.008695652173913044,555.5555555555555,Moderately flexible,0.1891304347826087
newton,3921,672.0,45,1.0,Newton,77.1680474686319,1.0,900.0,1543.0,98.258,70.1,2.9,16.5,5.1,0.1713848508033665,4356.666666666666,Moderately flexible,0.2359092068349911
quincy,7004,401.0,58,1.0,Quincy,40.9768195693939,1.0,664.0,1968.0,97.969,54.2,5.4,30.7,5.1,0.05725299828669332,10548.192771084337,Moderately flexible,0.5905197030268418
revere,5198,245.0,62,1.0,Revere,2.81379785413883,1.0,195.0,1016.0,95.648,44.9,4.7,5.5,37.3,0.04713351288957291,26656.410256410258,Most flexible zoning,0.6263947672181608
